Category,Sms,cleaned_sms
scam,au iyo ela nitumie kwenye HaloPesa hii 0698945621 Jina litoke 0698945621.,iyo ela nitumie kwenye halopesa jina litoke
scam,au iyo ela nitumie kwenye AirtelMoney hii 0699137921 Jina litoke 0699137921.,iyo ela nitumie kwenye airtelmoney jina litoke
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550698945621",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,Habari za mchana. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?,habari mchana mwenye nyumba wako namba halotel mbona kimya siku zinazidi kwenda
trust,Ninakutakia mafanikio mema kwenye kazi zako.,ninakutakia mafanikio mema kwenye kazi zako
scam,Utanitumia. kwemye namba 0696530433 ya AIRTEL jina Ester kalobelo.,utanitumia kwemye namba airtel jina ester kalobelo
scam,MZEE Ester kalobelo tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0689933027)(0689933027),mzee ester kalobelo tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,TUMIA NAMBA HII (0755667788)KUNITUMIA IYO HELA JINA LITAONYESHA (JENEROZA ROCK BENEDICTO),tumia namba kunitumia iyo hela jina litaonyesha jeneroza rock benedicto
scam,Habari za mda huu. Mimi  mwenye nyumba wako hii namba yangu ya Tigo. Mbona kimya na siku zinazidi kwenda...?,habari mda huu mwenye nyumba wako namba tigo mbona kimya siku zinazidi kwenda
trust,Umbea ni sehemu ya ndoa,umbea sehemu ndoa
trust,Ninja ana hoja apewe muda zaidi,ninja ana hoja apewe muda zaidi
scam,"Dear, No need to go out work, just at home to earn 5,000,000TZS a day, please contact us: https://wa.me/2550781476081",dear no need to go out work just at home to earn tzs a day please contact us httpswame
trust,Eti nywele zimevurugika,eti nywele zimevurugika
scam,Utanitumia kwa hîi vodacom 0698018072 j'ina ni LINUSI MALALO.,utanitumia hîi vodacom jina linusi malalo
scam,TUMIA NAMBA HII (0781476081)KUNITUMIA IYO HELA JINA LITAONYESHA (Magomba Maila),tumia namba kunitumia iyo hela jina litaonyesha magomba maila
scam,Utanitumia. kwemye namba 0698945621 ya AIRTEL jina LINUSI MALALO.,utanitumia kwemye namba airtel jina linusi malalo
scam,"Congratulations! Your CV has passed. You can get 2,000,000TZS in a day. for details: wa.me/2550788542784",congratulations your cv has passed you can get tzs in a day for details wame
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0654321098",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,"Tuzo Point hongera umepata zawadi Sh5,000,000 milioni kutoka (Tuzo Point) piga sim,.0747878264 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
trust,Unapendelea chai au kahawa?,unapendelea chai kahawa
trust,Kashakuwa mkubwa sasa  hongera dogo,kashakuwa mkubwa sasa hongera dogo
scam,"Habari za mchana,mimi JUMANNE YASINI MASAKA,hii namba yangu ya Airtel.Vp mbona shem JUMANNE YASINI MASAKA, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari mchanamimi jumanne yasini masakahii namba airtelvp mbona shem jumanne yasini masaka anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0698945621 AU 0698945621",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0789723456 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,MPIGIE MZEE Magomba Maila WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0698945621,mpigie mzee magomba maila wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0655251448 au 0655251448",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
trust,Ningependa kujua kama uko tayari kwa mkutano ule wa biashara ndogo ndogo. Tafadhali nijulishe.,ningependa kujua kama uko tayari mkutano ule wa biashara ndogo ndogo tafadhali nijulishe
trust,"Ninaenda safari wiki ijayo, nitakuja kukuaga kabla ya kuondoka.",ninaenda safari wiki ijayo nitakuja kukuaga kabla kuondoka
scam,TUMIA NAMBA HII (0787-406-889)KUNITUMIA IYO HELA JINA LITAONYESHA (FEBU SHADI WILISON),tumia namba kunitumia iyo hela jina litaonyesha febu shadi wilison
scam,Naomba unitumie iyo pesa kwenye namba hii ya VODACOM 0784862618. jina (MWANAIDI KHAMISI),naomba unitumie iyo pesa kwenye namba vodacom jina mwanaidi khamisi
scam,MZEE KHADIJA SUMBAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0755667788)(0755667788),mzee khadija sumbai tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550773409724",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,0617488472 Jina litakuja Magomba Maila Nitumie kwenye hiyo tigo,jina litakuja magomba maila nitumie kwenye tigo
scam,"Mpigie Mzee HADIJA LAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0773409724",mpigie mzee hadija lai tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Habari za muda. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?,habari muda mwenye nyumba wako namba halotel mbona kimya siku zinazidi kwenda
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0615810764 au 0615810764",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,tuma kwenye namba hii ya AirtelMoney 0696530433 jina litakuja SAID MTAALAM  Ukituma unijulishe,tuma kwenye namba airtelmoney jina litakuja said mtaalam ukituma unijulishe
trust,Tafadhali unisamehe kwa makosa niliyofanya jana.,tafadhali unisamehe makosa niliyofanya jana
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By LINUSI MALALO,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by linusi malaloni grp member
trust,"Je, unakumbuka kuhusu mpango wa leo?",unakumbuka kuhusu mpango wa leo
scam,Iyo hela itume humu kwenye tigo 0695567435 jina lije Ester kalobelo.,iyo hela itume humu kwenye tigo jina lije ester kalobelo
trust,"Nimemaliza kazi yangu sasa, tuonane kwenye kahawa?",nimemaliza kazi sasa tuonane kwenye kahawa
scam,"Dear, No need to go out work, just at home to earn 10,000,000TZS a day, please contact us: https://wa.me/2550655251448",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,0689933027 Jina litakuja KHADIJA SUMBAI Nitumie kwenye hiyo AIRTEL,jina litakuja khadija sumbai nitumie kwenye airtel
scam,"We need urgently Need Staff salary 10,000,000TZS. Reach HR team at: wa.me/2550784862618.",we need urgently need staff salary tzs reach hr team at wame
trust,"Ulitoka wapi jana usiku? Nilikuwa nikipanga kukuona, lakini hukufika!",ulitoka wapi jana usiku nilikuwa nikipanga kukuona lakini hukufika
trust,Nimefurahi sana kusikia habari njema kutoka kwako.,nimefurahi kusikia habari njema kutoka kwako
scam,Nitumie tu kwenye hii voda 0773409724 jina LUKA KIMBANGU.,nitumie tu kwenye voda jina luka kimbangu
scam,"Airtel ENLC Imethibitishwa namba yako ya 078 ... imeshinda Tsh170,000.00/=million kutoka OFA YAKO ilikupokea ela yako piga 0657666983 Asante",airtel enlc imethibitishwa namba yako imeshinda tshmillion kutoka ofa yako ilikupokea ela yako piga asante
scam,TUMIA NAMBA HII (0787-406-889)KUNITUMIA IYO HELA JINA LITAONYESHA (JUMA SIKAREKO),tumia namba kunitumia iyo hela jina litaonyesha juma sikareko
trust,"Nasikia yule msanii wa filamu alifungiwa project yake mpya, watu wanajua sababu gani?",nasikia yule msanii wa filamu alifungiwa project mpya watu wanajua sababu gani
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0784862618 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
trust,"Habari za asubuhi, mpenzi wangu? Naomba siku yako iwe nzuri kama moyo wako.",habari asubuhi mpenzi wangu naomba siku yako iwe nzuri kama moyo wako
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0781476081 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Samahani naomba itume kwenye Tigo 0675259049 Ester kalobelo.,samahani naomba itume kwenye tigo ester kalobelo
scam,0698945621 Jina litakuja RAMATUNGU Nitumie kwenye hiyo Tigo,jina litakuja ramatungu nitumie kwenye tigo
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya vodacom. Mbona kimya na siku zinazidi kwenda...?,habari asubuhi mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,tuma kwenye namba hii ya m-pesa 0784862618 jina litakuja JOACHIM KAPUFI Ukituma unijulishe,tuma kwenye namba mpesa jina litakuja joachim kapufi ukituma unijulishe
scam,Utanitumia kwenye ii 0676584303 Vodacom jina FEBU SHADI WILISON namba yangu inadeni usiitumie,utanitumia kwenye ii vodacom jina febu shadi wilison namba inadeni usiitumie
trust,"Mambo vipi, uko poa?",mambo vipi uko poa
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
trust,Nimepanga kuandaa chakula cha jioni kwa ajili ya marafiki zangu. Ungependa kuja?,nimepanga kuandaa chakula cha jioni ajili marafiki zangu ungependa kuja
trust,Hakika nilifurahia mazungumzo yetu jana.,hakika nilifurahia mazungumzo jana
trust,Tafadhali nitumie salio kidogo.,tafadhali nitumie salio kidogo
trust,uko sawa huna maringo kama wengine,uko sawa huna maringo kama wengine
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,Habari za muda. Mimi  mwenye nyumba wako hii namba yangu ya Vodacom. Mbona kimya na siku zinazidi kwenda...?,habari muda mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,"vodacom W1SD Imethibitishwa namba yako ya 078 ... imeshinda Tsh1,500,000.00/=million kutoka OFA YAKO ilikupokea Pesa yako piga 0716484506 Asante",vodacom wsd imethibitishwa namba yako imeshinda tshmillion kutoka ofa yako ilikupokea pesa yako piga asante
trust,"Je, umefanikiwa kupata risiti za manunuzi ya bidhaa?",umefanikiwa kupata risiti manunuzi bidhaa
scam,Habari za mchana. Mimi  mwenye nyumba wako hii namba yangu ya airtel. Mbona kimya na siku zinazidi kwenda...?,habari mchana mwenye nyumba wako namba airtel mbona kimya siku zinazidi kwenda
scam,Utanitumia kwenye ii 0689592818 airtel jina RAMATUNGU namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina ramatungu namba inadeni usiitumie
scam,"Habari za asubuhi,mimi ALLY ISSA,hii namba yangu ya Tigo.Vp mbona shem ALLY ISSA, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari asubuhimimi ally issahii namba tigovp mbona shem ally issa anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
trust,"Je, umeongea na fundi kuhusu matengenezo ya nyumba?",umeongea fundi kuhusu matengenezo nyumba
trust,"Samahani, unaweza kunipigia baadaye kidogo?",samahani unaweza kunipigia baadaye kidogo
scam,MZEE LUKA KIMBANGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0784862618)(0784862618),mzee luka kimbangu tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0699137921",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya Vodacom. Mbona kimya na siku zinazidi kwenda...?,habari asubuhi mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,Basi iyo hela nitumie kwenye namba hii 0782435667 jina litakuja (JOACHIM KAPUFI) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja joachim kapufi ile namba usitumie laini inamatatizo
scam,Utanitumia kwenye ii 0689592818 Airtel jina JUMANNE YASINI MASAKA namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina jumanne yasini masaka namba inadeni usiitumie
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550786543210",dear no need to go out work just at home to earn tzs a day please contact us httpswame
trust,"Usiku mwema, Mungu akulinde.",usiku mwema mungu akulinde
scam,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0755896103,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
trust,Asante kwa kushiriki kwenye harambee ya shule. Mchango wako umewekwa.,asante kushiriki kwenye harambee shule mchango wako umewekwa
trust,Uko wapi sasa hivi? Nahitaji kukuona.,uko wapi sasa hivi nahitaji kukuona
scam,tuma kwenye namba hii ya AirtelMoney 0783582817 jina litakuja JUMA SIKAREKO Ukituma unijulishe,tuma kwenye namba airtelmoney jina litakuja juma sikareko ukituma unijulishe
trust,Pole sanaa kaka kwa yote,pole sanaa kaka yote
scam,au iyo ela nitumie kwenye M-Pesa hii 0698018072 Jina litoke 0698018072.,iyo ela nitumie kwenye mpesa jina litoke
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0773409724",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
trust,"Habari za asubuhi baba, kuna kero ya maji nyumbani. Tutaenda kupiga simu kwa mtaa.",habari asubuhi baba kuna kero maji nyumbani tutaenda kupiga simu mtaa
scam,Basi iyo hela nitumie kwenye namba hii 0657538690 jina litakuja (ALLY ISSA) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja ally issa ile namba usitumie laini inamatatizo
scam,"We need urgently Need Staff salary 170,000TZS. Reach HR team at: wa.me/2550755667788.",we need urgently need staff salary tzs reach hr team at wame
scam,Iyo ela tuma humu kwenye airtel 0615810764 Jina lije OLIVA MATIAS.,iyo ela tuma humu kwenye airtel jina lije oliva matias
trust,Ninahitaji maelezo zaidi kuhusu mkutano wa wiki ijayo.,ninahitaji maelezo zaidi kuhusu mkutano wa wiki ijayo
trust,"Nimepokea ujumbe wako, nitajibu baadaye.",nimepokea ujumbe wako nitajibu baadaye
trust,Unajua kuwa Juma Jux anatarajia kufanya tour Ulaya mwakani? Jamaa anaendelea kutamba.,unajua kuwa juma jux anatarajia kufanya tour ulaya mwakani jamaa anaendelea kutamba
trust,"Messi na Ronaldo ni historia, unafikiri Haaland na Mbappe wataendeleza hadithi hiyo?",messi ronaldo historia unafikiri haaland mbappe wataendeleza hadithi
trust,"Je, unaweza kunisaidia na ada ya shule ya mtoto wangu?",unaweza kunisaidia ada shule mtoto wangu
trust,"Asante sana kwa kunifundisha jana, imenisaidia sana kuelewa somo la kemia.",asante kunifundisha jana imenisaidia kuelewa somo la kemia
scam,Habari za mda huu. Mimi  mwenye nyumba wako hii namba yangu ya TIGO. Mbona kimya na siku zinazidi kwenda...?,habari mda huu mwenye nyumba wako namba tigo mbona kimya siku zinazidi kwenda
scam,Au nitumie kwenye AirtelMoney Namba.0657666983 jina litakuja NASHONI MBIRIBI,nitumie kwenye airtelmoney namba jina litakuja nashoni mbiribi
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698945621 JINA ITALETA Ester kalobelo NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta ester kalobelo nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
trust,"Hata mimi nashangaa kuhusu Irene Uwoya na yule mchumba wake mpya, wamepost picha za harusi!",hata nashangaa kuhusu irene uwoya yule mchumba wake mpya wamepost picha harusi
scam,"Congratulations! Your CV has passed. You can get 5,000,000TZS in a day. for details: wa.me/2550696530433",congratulations your cv has passed you can get tzs in a day for details wame
scam,Iyo ela itume humu kwenye vodacom 0654321098 jina lije HADIJA LAI.,iyo ela itume humu kwenye vodacom jina lije hadija lai
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550783654321",congratulations your cv has passed you can get tzs in a day for details wame
trust,"Watu wanaongelea kuhusu fashion ya mastaa wetu kwenye tuzo za juzi, wengine waliua!",watu wanaongelea kuhusu fashion mastaa kwenye tuzo juzi wengine waliua
scam,"Habari za asubuhi,mimi SAID MTAALAM ,hii namba yangu ya VODACOM.Vp mbona shem SAID MTAALAM , anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari asubuhimimi said mtaalam namba vodacomvp mbona shem said mtaalam anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
trust,Usisahau kufunga mlango wa mbele kabla ya kulala.,usisahau kufunga mlango wa mbele kabla kulala
trust,"Habari mama, vip hali yako leo?",habari mama vip hali yako leo
scam,"Congratulations! Your CV has passed. You can get 1,500,000TZS in a day. for details: wa.me/2550784862618",congratulations your cv has passed you can get tzs in a day for details wame
trust,Hakika unastahili pongezi kwa kazi nzuri!,hakika unastahili pongezi kazi nzuri
trust,Barikiwa sana kaka,barikiwa kaka
trust,Nipigie ukiwa tayari kwa mazungumzo.,nipigie ukiwa tayari mazungumzo
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550784862618",congratulations your cv has passed you can get tzs in a day for details wame
trust,"Samahani, simu yangu ilikuwa imezima, nitakupigia baadaye.",samahani simu ilikuwa imezima nitakupigia baadaye
trust,Tutaongea zaidi kuhusu hili kesho.,tutaongea zaidi kuhusu hili kesho
scam,"voda QI2J Imethibitishwa namba yako ya 067 ... imeshinda Tsh2,000,000.00/=million kutoka OFA YAKO ilikupokea Hela yako piga 0617488472 Asante",voda qij imethibitishwa namba yako imeshinda tshmillion kutoka ofa yako ilikupokea hela yako piga asante
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0783582817 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Naomba unitumie iyo Hela kwenye namba hii ya TIGO 0747878264. jina (JUMA SIKAREKO),naomba unitumie iyo hela kwenye namba tigo jina juma sikareko
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0782734560 AU 0782734560",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
trust,Tukutane kwenye uwanja wa ule kama kawa.,tukutane kwenye uwanja wa ule kama kawa
scam,Iyo ela itume humu kwenye AIRTEL 0696530433 jina lije Magomba Maila.,iyo ela itume humu kwenye airtel jina lije magomba maila
scam,pesa tuma kwa namba hii 0773409724 jina JUMANNE YASINI MASAKA,pesa tuma namba jina jumanne yasini masaka
scam,"We need urgently Need Staff salary 170,000TZS. Reach HR team at: wa.me/2550676584303.",we need urgently need staff salary tzs reach hr team at wame
scam,"Mpigie Mzee ALLY ISSA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0676584303",mpigie mzee ally issa tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"Imethibitishwa, namba yako ya 0782734560 imejishindia TSH 10,000,000 kutoka OFA YAKO. Piga 0782734560 ili kupokea Pesa yako.",imethibitishwa namba yako imejishindia tsh kutoka ofa yako piga ili kupokea pesa yako
scam,"We need urgently Need Staff salary 170,000TZS. Reach HR team at: wa.me/2550695567435.",we need urgently need staff salary tzs reach hr team at wame
trust,"PSG wana kikosi kizuri, lakini bado hawana mbinu bora za kushinda Champions League.",psg wana kikosi kizuri lakini bado hawana mbinu bora kushinda champions league
scam,Basi iyo hela nitumie kwenye namba hii 0698945621 jina litakuja (KHADIJA SUMBAI) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja khadija sumbai ile namba usitumie laini inamatatizo
trust,Unaweza kunisaidia kuelewa swali la pili la assignment? Limekuwa gumu kidogo.,unaweza kunisaidia kuelewa swali la pili la assignment limekuwa gumu kidogo
trust,"Nimekosa mafuta ya kupika, ungeniletea kidogo ukitoka kazini.",nimekosa mafuta kupika ungeniletea kidogo ukitoka kazini
trust,Tukutane kesho.,tukutane kesho
scam,"We need urgently Need Staff salary 4,000,000TZS. Reach HR team at: wa.me/2550695567435.",we need urgently need staff salary tzs reach hr team at wame
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0786543210",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,Basi iyo hela nitumie kwenye namba hii 0781476081 jina litakuja (MARIAM NDUGAI) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja mariam ndugai ile namba usitumie laini inamatatizo
trust,"Nina wazo zuri, nataka tukiongee pamoja.",nina wazo zuri nataka tukiongee pamoja
scam,Iyo Pesa itume humu kwenye halotel 0788542784 jina lije KHADIJA SUMBAI.,iyo pesa itume humu kwenye halotel jina lije khadija sumbai
scam,MZEE LUKA KIMBANGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0676584303)(0676584303),mzee luka kimbangu tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698945621 JINA ITALETA JOACHIM KAPUFI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta joachim kapufi nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,Iyo ela tuma humu kwenye AIRTEL 0654321098 Jina lije ABDALLAH MWANAKU,iyo ela tuma humu kwenye airtel jina lije abdallah mwanaku
scam,Utanitumia kwenye ii 0699137921 tigo jina SALOME KALUNGA namba yangu inadeni usiitumie,utanitumia kwenye ii tigo jina salome kalunga namba inadeni usiitumie
scam,"Habari za siku,mimi MARIAM NDUGAI,hii namba yangu ya airtel.Vp mbona shem MARIAM NDUGAI, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari sikumimi mariam ndugaihii namba airtelvp mbona shem mariam ndugai anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
scam,MZEE ALLY ISSA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0773409724)(0773409724),mzee ally issa tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
